sim_id,alg,task_type,task_level,task_seed,col_chance,task_val
2025-09-09_12:10:02,"O(400, 5)",reach_hard,2,3,0.0,10.0
2025-09-09_12:13:38,"O(400, 5)",reach_hard,2,4,0.014,13.0
2025-09-09_12:33:15,"O(400, 5)",reach_hard,4,3,0.0,13.0
2025-09-09_11:41:57,"O(400, 5)",reach_easy,4,5,0.0,29.0
2025-09-09_10:58:57,"O(400, 5)",reach_easy,1,3,0.0,28.0
2025-09-09_12:29:34,"O(400, 5)",reach_hard,3,5,0.012,5.0
2025-09-09_11:24:58,"O(400, 5)",reach_easy,3,4,0.0,30.0
2025-09-09_11:16:48,"O(400, 5)",reach_easy,2,5,0.0,30.0
2025-09-09_11:46:01,"O(400, 5)",reach_easy,5,3,0.0,26.0
2025-09-09_12:06:00,"O(400, 5)",reach_hard,1,5,0.168,8.0
2025-09-09_12:45:17,"O(400, 5)",reach_hard,5,3,0.0,5.0
2025-09-09_11:05:52,"O(400, 5)",reach_easy,1,5,0.0,21.0
2025-09-09_11:54:34,"O(400, 5)",reach_easy,5,5,0.0,21.0
2025-09-09_12:41:28,"O(400, 5)",reach_hard,4,5,0.0,5.0
2025-09-09_11:32:50,"O(400, 5)",reach_easy,4,3,0.01,28.0
2025-09-09_12:21:09,"O(400, 5)",reach_hard,3,3,0.018,15.0
2025-09-09_12:53:08,"O(400, 5)",reach_hard,5,5,0.028,4.0
2025-09-09_11:50:06,"O(400, 5)",reach_easy,5,4,0.07,22.0
2025-09-09_12:49:14,"O(400, 5)",reach_hard,5,4,0.0,8.0
2025-09-09_11:58:27,"O(400, 5)",reach_hard,1,3,0.0,10.0
2025-09-09_11:09:33,"O(400, 5)",reach_easy,2,3,0.0,28.0
2025-09-09_12:37:41,"O(400, 5)",reach_hard,4,4,0.0,7.0
2025-09-09_11:37:44,"O(400, 5)",reach_easy,4,4,0.0,24.0
2025-09-06_23:05:31,"O(400, 5)",reach_easy,1,2,0.0,37.0
2025-09-06_23:00:44,"O(400, 5)",reach_easy,1,1,0.0,31.0
2025-09-07_00:09:40,"O(400, 5)",reach_hard,1,0,0.004,12.0
2025-09-06_23:59:05,"O(400, 5)",reach_easy,5,1,0.094,16.0
2025-09-07_00:04:34,"O(400, 5)",reach_easy,5,2,0.004,37.0
2025-09-07_00:33:16,"O(400, 5)",reach_hard,2,2,0.0,5.0
2025-09-06_23:39:02,"O(400, 5)",reach_easy,4,0,0.0,29.0
2025-09-06_23:29:22,"O(400, 5)",reach_easy,3,1,0.0,23.0
2025-09-06_23:54:06,"O(400, 5)",reach_easy,5,0,0.0,20.0
2025-09-07_01:03:31,"O(400, 5)",reach_hard,4,2,0.012,8.0
2025-09-06_23:49:02,"O(400, 5)",reach_easy,4,2,0.0,32.0
2025-09-06_23:34:17,"O(400, 5)",reach_easy,3,2,0.0,28.0
2025-09-07_00:58:17,"O(400, 5)",reach_hard,4,1,0.02,8.0
2025-09-06_23:24:18,"O(400, 5)",reach_easy,3,0,0.0,27.0
2025-09-07_00:18:53,"O(400, 5)",reach_hard,1,2,0.042,12.0
2025-09-07_01:08:57,"O(400, 5)",reach_hard,5,0,0.0,8.0
2025-09-07_00:43:00,"O(400, 5)",reach_hard,3,1,0.0,9.0
2025-09-07_00:53:22,"O(400, 5)",reach_hard,4,0,0.0,7.0
2025-09-07_00:48:11,"O(400, 5)",reach_hard,3,2,0.076,5.0
2025-09-07_00:23:31,"O(400, 5)",reach_hard,2,0,0.024,10.0
2025-09-06_23:43:53,"O(400, 5)",reach_easy,4,1,0.0,19.0
2025-09-07_01:19:14,"O(400, 5)",reach_hard,5,2,0.34,4.0
2025-09-06_23:19:48,"O(400, 5)",reach_easy,2,2,0.0,30.0
2025-09-06_22:56:08,"O(400, 5)",reach_easy,1,0,0.0,33.0
2025-09-06_23:15:05,"O(400, 5)",reach_easy,2,1,0.0,23.0
2025-09-07_00:14:10,"O(400, 5)",reach_hard,1,1,0.0,11.0
2025-09-07_00:38:02,"O(400, 5)",reach_hard,3,0,0.0,9.0
2025-09-06_23:10:12,"O(400, 5)",reach_easy,2,0,0.0,26.0
2025-09-07_01:14:04,"O(400, 5)",reach_hard,5,1,0.0,5.0
2025-09-07_00:28:10,"O(400, 5)",reach_hard,2,1,0.0,8.0
2025-09-08_23:33:17,"O-(400, 5)",reach_easy,2,0,0.0,22.0
2025-09-09_00:02:23,"O-(400, 5)",reach_easy,4,2,0.0,30.0
2025-09-09_01:13:18,"O-(400, 5)",reach_hard,5,1,0.136,2.0
2025-09-09_00:06:23,"O-(400, 5)",reach_easy,5,0,0.0,15.0
2025-09-09_01:17:19,"O-(400, 5)",reach_hard,5,2,0.146,0.0
