sim_id,alg,task_type,task_level,task_seed,col_chance,task_val
2025-09-09_08:53:56_R_ur5e_N4_ACC_Tbin_s4_l3,CC(1000),bin,3,4,0.0,0.0
2025-09-09_09:06:05_R_ur5e_N4_ACC_Tbin_s4_l4,CC(1000),bin,4,4,0.0,1.0
2025-09-09_08:26:22_R_ur5e_N4_ACC_Tbin_s2_l1,CC(1000),bin,1,2,0.0,0.0
2025-09-09_08:24:16_R_ur5e_N4_ACC_Tbin_s1_l1,CC(1000),bin,1,1,0.0,2.0
2025-09-09_00:44:10_R_ur5e_N4_ACC_Tbin_s1_l3,CC(500),bin,3,1,0.0,0.0
2025-09-09_01:20:24_R_ur5e_N4_ACC_Tbin_s3_l5,CC(500),bin,5,3,0.0,0.0
2025-09-09_00:56:20_R_ur5e_N4_ACC_Tbin_s0_l4,CC(500),bin,4,0,0.0,0.0
2025-09-09_00:17:53_R_ur5e_N4_ACC_Tbin_s2_l1,CC(500),bin,1,2,0.0,0.0
2025-09-09_01:05:25_R_ur5e_N4_ACC_Tbin_s3_l4,CC(500),bin,4,3,0.0,0.0
2025-09-09_00:13:00_R_ur5e_N4_ACC_Tbin_s0_l1,CC(500),bin,1,0,0.0,1.0
2025-09-09_00:33:51_R_ur5e_N4_ACC_Tbin_s3_l2,CC(500),bin,2,3,0.0,0.0
2025-09-09_00:31:35_R_ur5e_N4_ACC_Tbin_s2_l2,CC(500),bin,2,2,0.0,0.0
2025-09-09_00:19:59_R_ur5e_N4_ACC_Tbin_s3_l1,CC(500),bin,1,3,0.0,2.0
2025-09-09_00:22:25_R_ur5e_N4_ACC_Tbin_s4_l1,CC(500),bin,1,4,0.0,2.0
2025-09-09_01:07:46_R_ur5e_N4_ACC_Tbin_s4_l4,CC(500),bin,4,4,0.0,2.0
2025-09-09_00:15:39_R_ur5e_N4_ACC_Tbin_s1_l1,CC(500),bin,1,1,0.0,2.0
2025-09-09_00:26:42_R_ur5e_N4_ACC_Tbin_s0_l2,CC(500),bin,2,0,0.0,1.0
2025-09-09_00:36:28_R_ur5e_N4_ACC_Tbin_s4_l2,CC(500),bin,2,4,0.0,2.0
