alg,task_type,task_level,n_arms,wsteps,tplanning_moaw,ctrl_freq_moaw,sim_clocktime,sim_physics_time
"SC(400, 5)",reach,10,4,500,0.051393415451049806,19.457745534590135,65.23096489906311,4.150000216439366
"SC(400, 5)",reach,2,4,500,0.05349454689025879,18.693494162151644,60.20970678329468,4.150000216439366
"SC(400, 5)",reach,5,4,500,0.06654059934616088,15.028418887508801,70.51595258712769,4.150000216439366
"SC(400, 5)",reach,2,4,500,0.0454068603515625,22.023103827428333,56.55146670341492,4.150000216439366
"SC(400, 5)",reach,4,4,500,0.05316250705718994,18.810249090101095,64.4209201335907,4.150000216439366
"SC(400, 5)",reach,9,4,500,0.06663579320907592,15.006949746398428,68.92710185050964,4.150000216439366
"SC(400, 5)",reach,10,4,500,0.054719791889190676,18.274923304259488,65.47348999977112,4.150000216439366
"SC(400, 5)",reach,5,4,500,0.051789470195770265,19.308944390044594,64.72459888458252,4.150000216439366
"SC(400, 5)",reach,3,4,500,0.04595533227920532,21.760260461711376,59.225738286972046,4.150000216439366
"SC(400, 5)",reach,7,4,500,0.04964252376556397,20.14402016953216,57.826478242874146,4.150000216439366
"SC(400, 5)",reach,4,4,500,0.046923957824707034,21.31107533033939,59.87557339668274,4.150000216439366
"SC(400, 5)",reach,6,4,500,0.040277578353881835,24.827709134196816,44.727593183517456,4.150000216439366
"SC(400, 5)",reach,1,4,500,0.03403625249862671,29.380437815248545,42.32789611816406,4.150000216439366
"SC(400, 5)",reach,1,4,500,0.03703532743453979,27.00124635775145,43.2406747341156,4.150000216439366
"SC(400, 5)",reach,4,4,500,0.05220004987716675,19.157069818000657,63.476664304733276,4.150000216439366
"SC(400, 5)",reach,6,4,500,0.04193930292129516,23.843982382745768,44.944233417510986,4.150000216439366
"SC(400, 5)",reach,3,4,500,0.04811084461212158,20.785334534493888,59.69946527481079,4.150000216439366
"SC(400, 5)",reach,2,4,500,0.048397789478302,20.66210070293244,58.6127815246582,4.150000216439366
"SC(400, 5)",reach,5,4,500,0.04883715200424194,20.47621449983695,64.00534796714783,4.150000216439366
"SC(400, 5)",reach,10,4,500,0.0654882984161377,15.269903542853069,70.35222482681274,4.150000216439366
"SC(400, 5)",reach,5,4,500,0.056130821228027344,17.815524129561073,66.41803860664368,4.150000216439366
"SD(400, 5)",reach,8,4,500,0.05494342660903931,18.20053938600691,157.58317637443542,4.150000216439366
"SD(400, 5)",reach,1,4,500,0.050015756607055664,19.993699342717353,140.4453628063202,4.150000216439366
"SD(400, 5)",reach,7,4,500,0.0556818904876709,17.959160352528265,149.40697956085205,4.150000216439366
"SD(400, 5)",reach,9,4,500,0.061153051376342776,16.35241377974563,162.1969337463379,4.150000216439366
